-- [User: dahlia-983 (Nova Armstrong) ID: 143]
INSERT INTO `users` (`id`, `name`, `description`, `swimmer_id`, `created_at`, `updated_at`, `email`, `encrypted_password`, `reset_password_token`, `reset_password_sent_at`, `remember_created_at`, `sign_in_count`, `current_sign_in_at`, `last_sign_in_at`, `current_sign_in_ip`, `last_sign_in_ip`, `confirmation_token`, `confirmed_at`, `confirmation_sent_at`, `unconfirmed_email`, `failed_attempts`, `unlock_token`, `locked_at`, `use_email_data_updates_notify`, `use_email_achievements_notify`, `use_email_newsletter_notify`, `use_email_community_notify`, `avatar_resource_filename`, `swimmer_level_type_id`, `coach_level_type_id`, `authentication_token`, `outstanding_goggle_score_bias`, `outstanding_standard_score_bias`, `last_name`, `first_name`, `year_of_birth`, `facebook_uid`, `goggle_uid`, `twitter_uid`)
  VALUES (143, 'dahlia-983', 'Nova Armstrong', NULL, '2016-11-10 18:13:06', '2016-11-10 18:13:06', 'janet@kunze.co.uk', '$2a$04$hxnUvQycvGb47nVzp4QHWu5H.3Vh5JXCgz6IkE5ZLRYPWOAf3O2Su', NULL, NULL, NULL, 0, NULL, NULL, NULL, NULL, NULL, '2016-11-10 18:13:06', NULL, NULL, 0, NULL, NULL, 0, 0, 0, 0, NULL, 2, NULL, 'xSaosmXWyK6s1Fi8tBxm', 800, 800, NULL, NULL, 1900, NULL, NULL, NULL);

-- [User: garrison-71 (Lucius Miller) ID: 144]
INSERT INTO `users` (`id`, `name`, `description`, `swimmer_id`, `created_at`, `updated_at`, `email`, `encrypted_password`, `reset_password_token`, `reset_password_sent_at`, `remember_created_at`, `sign_in_count`, `current_sign_in_at`, `last_sign_in_at`, `current_sign_in_ip`, `last_sign_in_ip`, `confirmation_token`, `confirmed_at`, `confirmation_sent_at`, `unconfirmed_email`, `failed_attempts`, `unlock_token`, `locked_at`, `use_email_data_updates_notify`, `use_email_achievements_notify`, `use_email_newsletter_notify`, `use_email_community_notify`, `avatar_resource_filename`, `swimmer_level_type_id`, `coach_level_type_id`, `authentication_token`, `outstanding_goggle_score_bias`, `outstanding_standard_score_bias`, `last_name`, `first_name`, `year_of_birth`, `facebook_uid`, `goggle_uid`, `twitter_uid`)
  VALUES (144, 'garrison-71', 'Lucius Miller', NULL, '2016-11-10 18:13:06', '2016-11-10 18:13:06', 'nestor_cremin@hahn.biz', '$2a$04$o3K.tDmOpcraQOBSpCzh7u/TeZ.jeZIXhPnPRUz6kI4RW3mh/Rpey', NULL, NULL, NULL, 0, NULL, NULL, NULL, NULL, NULL, '2016-11-10 18:13:06', NULL, NULL, 0, NULL, NULL, 0, 0, 0, 0, NULL, 12, NULL, 'sGk49nEzKV4SKgWygHHs', 800, 800, NULL, NULL, 1900, NULL, NULL, NULL);

-- [User: pete-684 (Baby Quigley) ID: 145]
INSERT INTO `users` (`id`, `name`, `description`, `swimmer_id`, `created_at`, `updated_at`, `email`, `encrypted_password`, `reset_password_token`, `reset_password_sent_at`, `remember_created_at`, `sign_in_count`, `current_sign_in_at`, `last_sign_in_at`, `current_sign_in_ip`, `last_sign_in_ip`, `confirmation_token`, `confirmed_at`, `confirmation_sent_at`, `unconfirmed_email`, `failed_attempts`, `unlock_token`, `locked_at`, `use_email_data_updates_notify`, `use_email_achievements_notify`, `use_email_newsletter_notify`, `use_email_community_notify`, `avatar_resource_filename`, `swimmer_level_type_id`, `coach_level_type_id`, `authentication_token`, `outstanding_goggle_score_bias`, `outstanding_standard_score_bias`, `last_name`, `first_name`, `year_of_birth`, `facebook_uid`, `goggle_uid`, `twitter_uid`)
  VALUES (145, 'pete-684', 'Baby Quigley', NULL, '2016-11-10 18:13:06', '2016-11-10 18:13:06', 'fiona_wiza@hodkiewiczlarson.info', '$2a$04$n3RbsXEAxDZ4HEq4NwGDy.wdrtGls19h2IFIpj9vPeMzl2CiBDZaK', NULL, NULL, NULL, 0, NULL, NULL, NULL, NULL, NULL, '2016-11-10 18:13:06', NULL, NULL, 0, NULL, NULL, 0, 0, 0, 0, NULL, 5, NULL, '1UyzPaCev7pJ5scbJUnS', 800, 800, NULL, NULL, 1900, NULL, NULL, NULL);

-- [User: joan_satterfield-982 (Zelda Reilly) ID: 146]
